product_name,price,rating,reviews,product_url,price_pkr,price_tier
RIDEN RD6030/W 60V 30A DC Voltage Step-down Stabilized Lab Power Supply Module Buck Adjustable Converter Battery Charging,102.99,4.96,53.0,https://www.banggood.com/RIDEN-RD6030-or-W-60V-30A-DC-Voltage-Step-down-Stabilized-Lab-Power-Supply-Module-Buck-Adjustable-Converter-Battery-Charging-p-2014727.html?cur_warehouse=CN&ID=6326874&rmmds=CategoryElectronicsPop&trace_id=812c1763854445981,29068.93,Premium
Geekcreit® AC 100-240V to DC 12V 5A 60W Switching Power Supply Module Driver Adapter LED Strip Light,6.99,4.94,3297.0,https://www.banggood.com/Geekcreit-AC-100-240V-to-DC-12V-5A-60W-Switching-Power-Supply-Module-Driver-Adapter-LED-Strip-Light-p-1441620.html?cur_warehouse=CN&rmmds=CategoryElectronicsPop&trace_id=812c1763854445981,1972.93,Budget
XY-SK60 XY-SK120 60W/120W 5A MPPT DC0-36V CC CV Power Supply Voltage Regulator WiFi RS485 Modbus Buck Boost Converter Solar Charging Module,12.17,4.81,43.0,https://www.banggood.com/XY-SK60-XY-SK120-60W-or-120W-5A-MPPT-DC0-36V-CC-CV-Power-Supply-Voltage-Regulator-WiFi-RS485-Modbus-Buck-Boost-Converter-Solar-Charging-Module-p-2018764.html?cur_warehouse=CN&ID=522661&rmmds=CategoryElectronicsPop&trace_id=812c1763854445981,3434.98,Mid-range
RIDEN® RD6018 RD6018W RD6024 RD6024W RD6030 Digital Switching Power Supply Case S800 Shell For Voltage Converter,35.99,4.86,65.0,https://www.banggood.com/RIDEN-RD6018-RD6018W-RD6024-RD6024W-RD6030-Digital-Switching-Power-Supply-Case-S800-Shell-For-Voltage-Converter-p-1995241.html?cur_warehouse=CN&ID=6323987&rmmds=CategoryElectronicsPop&trace_id=812c1763854445981,10158.18,Premium
RIDEN® 1500W AC110V/220V to DC 68V Regulated Switching Power Supply for RD6018 RD6024 RD6030,102.39,4.84,56.0,https://www.banggood.com/RIDEN-1500W-AC110V-or-220V-to-DC-68V-Regulated-Switching-Power-Supply-for-RD6018-RD6024-RD6030-p-1995203.html?cur_warehouse=CN&rmmds=CategoryElectronicsPop&trace_id=812c1763854445981,28899.58,Premium
RIDEN® RK6006/RK6006-BT 60V 6A 4 Digit Communication 360W Adjustable Digital DC to DC Step Down Voltage Bench Power Supply Buck Converter,31.44,4.97,112.0,https://www.banggood.com/RIDEN-RK6006-or-RK6006-BT-60V-6A-4-Digit-Communication-360W-Adjustable-Digital-DC-to-DC-Step-Down-Voltage-Bench-Power-Supply-Buck-Converter-p-1992304.html?cur_warehouse=CN&ID=6323591&rmmds=CategoryElectronicsPop&trace_id=812c1763854445981,8873.94,Premium
22A/1400W Buck DC Adjustable Voltage Regulator Voltage Current Module Constant Voltage Constant Current Step-down Module,6.95,4.8,20.0,https://www.banggood.com/22A-or-1400W-Buck-DC-Adjustable-Voltage-Regulator-Voltage-Current-Module-Constant-Voltage-Constant-Current-Step-down-Module-p-2011847.html?cur_warehouse=CN&ID=6326255&rmmds=CategoryElectronicsPop&trace_id=812c1763854445981,1961.64,Budget
Sinilink XY12522 DC Buck Power Supply 12-140V Input 0-125V Output 2000W Power MPPT Solar Charging 1.8 Inch LCD High Precision 0-22A Current,23.48,4.88,8.0,https://www.banggood.com/Sinilink-XY12522-DC-Buck-Power-Supply-12-140V-Input-0-125V-Output-2000W-Power-MPPT-Solar-Charging-1_8-Inch-LCD-High-Precision-0-22A-Current-p-2023977.html?cur_warehouse=CN&ID=6292599&rmmds=CategoryElectronicsPop&trace_id=812c1763854445981,6627.23,Premium
RIDEN® RD6024 DC Step Down Voltage Power Supply WiFi 24A Buck Converter 12V/36V/48V/60V Adjustable Battery Charger 1000W,104.99,4.93,164.0,https://www.banggood.com/RIDEN-RD6024-DC-Step-Down-Voltage-Power-Supply-WiFi-24A-Buck-Converter-12V-or-36V-or-48V-or-60V-Adjustable-Battery-Charger-1000W-p-1993543.html?cur_warehouse=CN&ID=6317604&rmmds=CategoryElectronicsPop&trace_id=812c1763854445981,29633.43,Premium
DC-DC Buck Boost Converter 0-36V 5A/6A 60W/120W Power Supply Module Adjustable Voltage Regulator Regulated Laboratory Power Supply,25.22,5.0,8.0,https://www.banggood.com/DC-DC-Buck-Boost-Converter-0-36V-5A-or-6A-60W-or-120W-Power-Supply-Module-Adjustable-Voltage-Regulator-Regulated-Laboratory-Power-Supply-p-2018945.html?cur_warehouse=CN&ID=522661&rmmds=CategoryElectronicsPop&trace_id=812c1763854445981,7118.34,Premium
RIDEN® RD6018 RD6018W USB WiFi DC to DC Voltage Step Down Power Supply Module Buck Converter Voltmeter Multimeter 60V 18A 1080W,62.99,4.95,410.0,https://www.banggood.com/RIDEN-RD6018-RD6018W-USB-WiFi-DC-to-DC-Voltage-Step-Down-Power-Supply-Module-Buck-Converter-Voltmeter-Multimeter-60V-18A-1080W-p-1993557.html?cur_warehouse=CN&ID=6296642&rmmds=CategoryElectronicsPop&trace_id=812c1763854445981,17778.93,Premium
